CustomerID,Gender,Age,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,InternetService,OnlineSecurity,TechSupport,SupportCalls,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00001,Male,23,0,No,No,5,No,DSL,No,No,1,Two year,Yes,Bank transfer,40.57,203.2,No
CUST00002,Male,62,1,No,No,12,Yes,Fiber optic,No,Yes,2,Month-to-month,Yes,Electronic check,69.85,824.29,No
CUST00003,Female,55,0,Yes,Yes,33,Yes,Fiber optic,No,No,2,One year,Yes,Credit card,91.84,3140.36,No
CUST00004,Female,43,0,Yes,Yes,12,No,Fiber optic,Yes,No,4,Month-to-month,Yes,Mailed check,76.64,866.07,No
CUST00005,Male,43,0,Yes,No,53,Yes,DSL,No,No,3,One year,Yes,Mailed check,51.58,2725.5,No
CUST00006,Female,67,1,Yes,No,58,Yes,Fiber optic,No,No,2,One year,Yes,Electronic check,82.74,5046.06,Yes
CUST00007,Female,22,0,Yes,No,56,Yes,DSL,Yes,No,1,One year,Yes,Electronic check,60.86,3442.95,No
CUST00008,Male,58,0,No,No,6,Yes,Fiber optic,No,No,3,One year,Yes,Credit card,92.7,597.39,No
CUST00009,Female,29,0,Yes,No,31,Yes,DSL,No,Yes,1,Month-to-month,Yes,Bank transfer,47.35,1457.04,No
CUST00010,Male,23,0,Yes,Yes,29,No,DSL,Yes,No,3,Month-to-month,Yes,Bank transfer,54.51,1607.92,No
CUST00011,Female,48,0,No,No,55,Yes,DSL,Yes,Yes,2,One year,Yes,Credit card,43.07,2512.51,No
CUST00012,Male,74,1,No,No,7,Yes,No,No internet service,No internet service,2,One year,No,Electronic check,37.61,249.97,No
CUST00013,Female,60,1,Yes,No,29,Yes,No,No internet service,No internet service,1,Two year,Yes,Electronic check,24.61,732.57,No
CUST00014,Female,62,1,Yes,No,7,Yes,Fiber optic,No,No,1,One year,Yes,Mailed check,83.17,606.88,No
CUST00015,Female,59,0,No,Yes,50,Yes,Fiber optic,No,No,1,Month-to-month,No,Mailed check,79.1,3608.37,Yes
CUST00016,Female,63,1,Yes,Yes,3,Yes,No,No internet service,No internet service,3,Month-to-month,Yes,Electronic check,38.7,104.77,No
CUST00017,Female,47,0,No,No,72,Yes,DSL,No,No,4,One year,Yes,Mailed check,64.21,4906.02,No
CUST00018,Female,25,0,No,No,38,Yes,No,No internet service,No internet service,0,Month-to-month,Yes,Mailed check,35.38,1416.44,No
CUST00019,Female,66,1,Yes,No,26,Yes,Fiber optic,No,No,1,Month-to-month,Yes,Electronic check,99.61,2648.56,No
CUST00020,Male,44,0,No,No,16,Yes,No,No internet service,No internet service,1,Month-to-month,Yes,Bank transfer,38.8,603.06,No
CUST00021,Male,47,0,Yes,No,56,Yes,No,No internet service,No internet service,5,Month-to-month,No,Mailed check,38.58,2187.13,No
CUST00022,Male,39,0,Yes,No,8,Yes,Fiber optic,No,No,1,Two year,Yes,Mailed check,91.55,718.55,No
CUST00023,Female,28,0,Yes,Yes,3,Yes,Fiber optic,No,Yes,1,Month-to-month,Yes,Bank transfer,72.14,216.57,No
CUST00024,Female,71,1,No,Yes,37,Yes,Fiber optic,No,Yes,3,Two year,No,Mailed check,72.7,2520.62,No
CUST00025,Male,63,1,Yes,No,25,Yes,Fiber optic,No,Yes,0,Two year,No,Bank transfer,73.48,1766.51,No
CUST00026,Male,55,0,Yes,No,33,Yes,Fiber optic,No,No,1,One year,Yes,Bank transfer,72.44,2168.31,No
CUST00027,Female,41,0,No,No,30,No,Fiber optic,No,Yes,3,One year,Yes,Electronic check,55.8,1574.99,No
CUST00028,Female,65,1,Yes,Yes,40,Yes,No,No internet service,No internet service,2,Month-to-month,Yes,Electronic check,34.48,1401.85,No
CUST00029,Female,49,0,No,No,26,Yes,Fiber optic,No,No,0,Month-to-month,Yes,Electronic check,94.5,2274.65,No
CUST00030,Male,43,0,No,Yes,20,Yes,No,No internet service,No internet service,1,One year,Yes,Credit card,30.76,632.53,No
CUST00031,Male,44,0,No,Yes,27,Yes,Fiber optic,Yes,Yes,3,Month-to-month,Yes,Mailed check,63.04,1694.64,No
CUST00032,Male,31,0,No,No,45,Yes,No,No internet service,No internet service,3,Month-to-month,Yes,Mailed check,24.67,1173.71,No
CUST00033,Female,23,0,No,No,47,Yes,Fiber optic,Yes,No,1,Two year,Yes,Mailed check,71.04,3170.92,No
CUST00034,Female,50,0,Yes,Yes,34,Yes,Fiber optic,No,No,3,One year,Yes,Mailed check,98.64,3610.15,Yes
CUST00035,Female,69,1,No,No,4,Yes,DSL,Yes,No,2,Month-to-month,Yes,Mailed check,59.81,239.66,Yes
